Country,No of Indian Students,Latitude,Longitude
Armenia,900,4.536307,-75.6723751
Australia,66886,-24.7761086,134.755
Austria,300,47.59397,14.12456
Azerbaijan,11,40.3936294,47.7872508
Bahrain,27000,26.1551249,50.5344606
Bangladesh,1000,-0.2864982,36.0514231
Belarus,343,53.4250605,27.6971358
Belgium,600,50.6402809,4.6667145
Bosnia Herzegovina,2,44.3053476,17.5961467
Brazil,24,-10.3333333,-53.2
Brunei Darussalam,20,4.4137155,114.5653908
Bulgaria,50,42.6073975,25.4856617
Canada,50000,61.0666922,-107.991707
Chile,1,-31.7613365,-71.3187697
China,16694,35.000074,104.999927
Cuba,7,23.0131338,-80.8328748
Curacao,200,12.1176488,-68.9309263
Cyprus,1962,34.9174159,32.889902651331866
Czech Republic,350,49.7439047,15.3381061
Denmark,274,55.670249,10.3333283
Egypt,110,26.2540493,29.2675469
Estonia,150,58.7523778,25.3319078
Finland,1000,63.2467777,25.9209164
France,5000,46.603354,1.8883335
France (Reunion Is.),3,-18.4885149,54.14476190411412
Georgia,1100,32.3293809,-83.1137366
Germany,1715,51.1638175,10.4478313
Greece,8,38.9953683,21.9877132
Guyana,167,4.8417097,-58.6416891
HongKong,365,22.350627,114.1849161
Hungary,350,47.1817585,19.5060937
Iceland,10,64.9841821,-18.1059013
Indonesia,18,-2.4833826,117.8902853
Iran,1200,32.6475314,54.5643516
Ireland,2096,52.865196,-7.9794599
Israel,550,30.8124247,34.8594762
Italy,1163,42.6384261,12.674297
Japan,879,36.5748441,139.2394179
Kazakhstan,2400,48.1012954,66.7780818
Korea (Republic of),1022,36.638392,127.6961188
Kuwait,79,29.3796532,47.9734174
Kyrgyzstan,4686,41.5089324,74.724091
Latvia,700,56.8406494,24.7537645
Lebanon,2,40.375713,-76.4626118
Libya,9,26.8234472,18.1236723
Lithuania,900,55.3500003,23.7499997
Malaysia,1493,4.5693754,102.2656823
Mauritius,500,-20.2759451,57.5703566
Mexico,100,19.4326296,-99.1331785
Moldova,160,47.2879608,28.5670941
Mongolia,1,43.9382593,-79.2235563
Nepal,3000,28.3780464,83.9999901
Niger,5,17.7356214,9.3238432
Norway,250,64.5731537,11.52803643954819
Philippines,6500,12.7503486,122.7312101
Poland,2500,52.215933,19.134422
Romania,200,45.9852129,24.6859225
Rwanda,20,-1.9646631,30.0644358
Saudi Arabia,850,25.6242618,42.3528328
Serbia,1,44.024322850000004,21.07657433209902
Slovakia,18,48.7411522,19.4528646
South Africa,150,-28.8166236,24.991639
Sri Lanka,15,7.5554942,80.7137847
Sudan,41,10.9,6.5
Sweden,2340,59.6749712,14.5208584
Switzerland,445,46.7985624,8.2319736
Tanzania,1220,-6.5247123,35.7878438
Turkey,36,38.9597594,34.9249653
Ukraine,7963,49.4871968,31.2718321
United Kingdom,16715,54.7023545,-3.2765753
United States of America,165918,39.7837304,-100.445882
Uzbekistan,50,41.32373,63.9528098
